nome;link;idioma;data;local;coautoria
Apresentações no R com xaringan;https://beatrizmilz.github.io/aMostra-IME-2019-Xaringan/;Português;17/09/2019;IME/USP;Mariana Dias Guilardi
Introdução ao pacote xaringan - Criando apresentações com R;https://beatrizmilz.github.io/IME-27-08-2019/;Português;27/08/2019;IME/USP;NA
Dashboards, gráficos, mapas: Possibilidades de visualização de dados com R;https://beatrizmilz.github.io/NerdzaoWeek/;Português;02/08/2019;Meetup Nerdzão;NA
Comunicando seus resultados: Criando apresentações com R;https://beatrizmilz.github.io/IV-SER-RLadies/;Português;20/05/2019;SER 2019 - UFF;Haydee Svab
Oficina de Introdução ao R;https://beatrizmilz.github.io/Oficina_intro_R_UFABC_2018;Português;29/11/2018;UFABC;NA
R e Desafios no Projeto Temático MacroAmb;https://beatrizmilz.github.io/apresentacao_R_MMP_17-10-2018;Português;17/10/2018;IEE/USP;NA
Funciones - R para Ciencia de Datos;https://beatrizmilz.github.io/2020-R4DS-Functions/;Espanhol;04/05/2020;Grupo de estudos para a Certificação da RStudio;NA
Producing Reports with knitr and R;https://beatrizmilz.github.io/CODATASP18_knitr;Inglês;05/12/2018;2018 CODATA-RDA School of Research Data Science/ICTP-SAIFR/NCC-UNESP;NA
Comunicando seus resultados em R: Aprenda a criar apresentações reprodutíveis;https://r-ladies-sao-paulo.github.io/xaringan/;Português;19/10/2020;LatinR 2020;Haydee Svab
Contribuindo via GitHub no RStudio - R-Ladies SP na Hacktoberfest;https://r-ladies-sao-paulo.github.io/2020-hacktoberfest/;Português;17/10/2020;Meetup R-Ladies São Paulo;Equipe R-Ladies São Paulo
The evolution and importance of the R-Ladies São Paulo chapter in Brazil;https://beatrizmilz.github.io/useR2019/;Inglês;11/07/2019;useR 2019;Bruna Wundervald
Ensino de programação: Como fazer parte da comunidade global The Carpentries?;https://mariguilardi.github.io/Python-Brasil-2020-The-Carpentries/index.html;Português;04/11/2020;Python Brasil 2020;Mariana Dias Guilardi
The Carpentries;https://beatrizmilz.github.io/slides_satRday_Carpentries/;Português;30/11/2019;SatRday São Paulo 2019;NA
R Markdown - Usando R para gerar diferentes tipos de relatórios;https://beatrizmilz.github.io/slidesR/rmarkdown/rmarkdown_packages.html;Português;29/09/2020;We R Live - Canal GeoCast Brasil;NA
Comunicando seus resultados: criando apresentações com R;https://beatrizmilz.github.io/apresentacao_RLadies_xaringan/;Português;21/11/2018;Meetup R-Ladies São Paulo;NA
Primeiros passos utilizando o Git e GitHub no RStudio;https://beatrizmilz.github.io/RLadies-Git-RStudio-2019/;Português;12/09/2019;Meetup R-Ladies São Paulo;NA
Git e GitHub no RStudio;https://beatrizmilz.github.io/slidesR/git_rstudio/pdf/rladies-gyn-27-08-2020.pdf;Português;27/08/2020;Meetup R-Ladies Goiânia;NA
Introdução ao R;https://beatrizmilz.github.io/slidesR/introR/pdf/RLadies_Curitiba_26-08-2020.pdf;Português;26/08/2020;R-Ladies Curitiba;NA
Adding figures in R Markdown;https://beatrizmilz.github.io/RStudio_Certification/slides.html;Inglês;23/09/2020;Exame de certificação da RStudio;NA
Minha experiência na useR! 2019;https://beatrizmilz.github.io/slidesR/R-Ladies_and_useR_meetup/#1;English;28/04/2021; R-Ladies + useR! 2021;NA
Coleta de dados automatizada e integração contínua utilizando GitHub Actions: Exemplos com o Pacote Mananciais;https://beatrizmilz.github.io/2021-SER/;Português;09/06/2021;V International Seminar on Statistics with R;NA
